"Sex","Model_name","Parameter","rhat","ess_bulk"
"Female","m2_HandBreadth.Eth","x[4]",1.00012832132868,11633.2762564011
"Female","m2_HandBreadth.Eth","x[5]",1.0001124046865,13926.7900284172
"Female","m2_HandBreadth.Eth","z[1]",1.0001254112652,13338.5308730248
"Female","m2_HandBreadth.Eth","z[2]",1.00010141494932,16922.1960360537
"Female","m2_HandBreadth.Eth","z[3]",1.00032215179264,18710.3632978899
"Female","m2_HandBreadth.Eth","z[4]",1.00015365191393,16497.4177208261
"Female","m2_HandBreadth.Eth","z[5]",1.00092685888873,19718.64625118
"Female","m2_HandBreadth.Eth","a",1.00034975800974,9268.37678911897
"Female","m2_HandBreadth.Eth","sigma_b",1.00038278659149,5403.46627905974
"Female","m2_HandBreadth.Eth","sigma_y",1.00074570051579,7502.54663208264
"Female","m2_HandBreadth.Eth","sigma",1.000759323306,15173.7440087702
"Female","m2_HandBreadth.Eth","y[1]",1.00051913672352,11297.5606555989
"Female","m2_HandBreadth.Eth","y[2]",1.00015498399605,13179.705298409
"Female","m2_HandBreadth.Eth","y[3]",1.00040128299975,16704.9062805204
"Female","m2_HandBreadth.Eth","y[4]",1.00032522586384,14454.1903786582
"Female","m2_HandBreadth.Eth","y[5]",1.00037934303971,16935.0728721269
"Female","m2_HandBreadth.Eth","b[1]",1.000275336422,10006.7817023189
"Female","m2_HandBreadth.Eth","b[2]",1.00030331624757,14467.2954559963
"Female","m2_HandBreadth.Eth","b[3]",0.999964767121011,11860.8818565423
"Female","m2_HandBreadth.Eth","b[4]",0.99991394653582,8482.76529140464
"Female","m2_HandBreadth.Eth","b[5]",0.999993445130505,13588.8632364348
"Female","m2_Finger.Eth","x[1]",1.00022657737724,11765.7820859582
"Female","m2_Finger.Eth","x[2]",1.00021956809378,14387.006291857
"Female","m2_Finger.Eth","x[3]",1.00001402362219,14197.4329152673
"Female","m2_Finger.Eth","x[4]",1.00013622299345,12512.2812699353
"Female","m2_Finger.Eth","x[5]",1.00038045560431,15765.028323207
"Female","m2_Finger.Eth","z[1]",1.00008650413889,9897.48520821887
"Female","m2_Finger.Eth","z[2]",1.0005941983972,13441.7939056901
