"ID","Sport","Group","Model2_data","Cohort","Code","Age","Sex","Ethnicity","IAAF","Grade_IRCRA","Exp_yrs","Hrs_Sport","Hrs_Other","Hrs_Total","Other_List","Mass","Stature","SitHeight","ArmSpan","Tibia","TibiaHeight","ForearmL","ForeHand","Biacrom","Biiliac","ForearmC","Triceps","X2D","X4D","HandLength","HandBreadth","FootLength","FootBreadth","Leg","Arm","Humerus","Femur","Finger","PC1"
"AR-020","Run","RunF","No","Non-elite","Rn/f",35,"Female","Asian",336,NA,3,2,5,7,"Gym",57.5,167.25,89,166.75,36.35,43.2,25.95,44.4,36.85,25.6,22.45,15.9,7.13,7.46,18,7.5,20.3,8.2,78.25,64.95,20.55,35.05,7.3,-2.03145905048452
"AR-021","Run","RunF","No","Non-elite","Rn/f",56,"Female","White",575,NA,45,6,4.5,10.5,"Cycle",62.8,168.25,89.25,168,36.1,43.85,27.6,46,35.1,28,23.45,16.35,7.35,7.36,17.2,7.4,21,8,79,66.45,20.45,35.15,7.36,-1.65117574107996
"AR-022","Run","RunM","No","Non-elite","Rn/m",20,"Male","Asian",212,NA,5,5,5,10,"Gym",65.3,173.5,93,174.25,37.15,45.65,27.25,46.1,39.6,28.2,25.3,7.85,7.15,7.46,18.3,8,22.6,8.5,80.5,67.33,21.23,34.85,7.31,0.245846410003131
"AR-024","Run","RunM","No","Non-elite","Rn/m",20,"Male","White",127,NA,2,1.5,2,3.5,"Football",80.6,180.5,94,179.5,40.5,47.75,29.45,48.05,40.55,27.85,27.35,16,7.19,7.6,18.2,8.4,24.8,9.4,86.5,69.48,21.43,38.75,7.4,2.18067006455918
"AR-025","Run","RunM","No","Non-elite","Rn/m",57,"Male","White",123,NA,4,4,0,4,"NONE",81.1,177.25,94.25,176.75,38.2,46.1,27.5,46.75,38.75,29.5,27.5,12.2,6.71,7.62,18.2,8.3,23.6,9.6,83,69,22.25,36.9,7.17,0.89102452429471
"AR-026","Run","RunM","No","Non-elite","Rn/m",18,"Male","White",8,NA,4,3,8,11,"Basketball, Row, Powerlift, Tabletennis",88.6,187,99.25,184.25,41.75,50.05,29.6,49.2,41.2,29.45,30.75,10.9,7.11,7.89,19.5,8.8,25.1,9.5,87.75,71.53,22.33,37.7,7.5,3.92442751142292
"AR-027","Run","RunM","No","Non-elite","Rn/m",48,"Male","White",106,NA,26,3,2,5,"Gym, Football",76.9,178.75,90.75,179.25,40.8,49.25,27.75,47.3,41,30.45,26.65,16.55,7.62,8.02,18.5,8.1,23.6,9.4,88,69.13,21.83,38.75,7.82,2.03691362737673
"AR-028","Run","RunM","No","Non-elite","Rn/m",30,"Male","White",134,NA,6,3,2,5,"Hockey",70.8,179.5,95,181.25,39.9,47.9,28.75,48.2,41.75,28.9,25.8,8.3,7.5,7.66,19,7.9,25.4,8.3,84.5,69.75,21.55,36.6,7.58,2.76800678535778
"AR-029","Run","RunM","No","Non-elite","Rn/m",60,"Male","White",7,NA,27,8,4.5,12.5,"Cycle, Cricket, Swim",90.4,182.75,93.75,187.75,40.75,49.25,29.15,49.6,42.7,33.25,27.7,11.45,7.73,7.9,19.1,8.8,25.3,9.9,89,72.53,22.93,39.75,7.82,3.95808587587546
"AR-030","Run","RunM","No","Non-elite","Rn/m",70,"Male","White",12,NA,40,4.5,2.5,7,"Gym, Basketball, Football",92.7,178.5,95.75,183,39.1,47.45,28,48,41.85,35,28.75,16.1,7.22,8.26,18.8,9.1,25.9,10.3,82.75,70.58,22.58,35.3,7.74,3.39389269502737
