"Extraction_name","Model_name","Parameter1","Parameter1_index","Parameter2","Parameter2_index","Comparison_type","mean","sd","ci_lower_89","ci_upper_89","ci_lower_95","ci_upper_95","prob_positive","n_samples"
"m1_Finger.HandLength.Eth___ClimbF.RunF","m1_Finger.HandLength.Eth","b",3,"b",1,"difference",0.01042670396151,0.223313387247899,-0.34469639231,0.3687590985,-0.428904495,0.44582166175,0.5199375,16000
"m1_Biiliac___RunM","m1_Biiliac","b",2,NA,NA,"single",-0.479132495247563,0.121893159459544,-0.6749954134,-0.2814899407,-0.7188396545,-0.23806214425,0,16000
"m1_Biiliac.Eth___RunM","m1_Biiliac.Eth","b",2,NA,NA,"single",-0.488631955324875,0.115938238470879,-0.67507631395,-0.30290295335,-0.719073903,-0.2576861795,0,16000
"m1_Biiliac.Stature___RunM","m1_Biiliac.Stature","b",2,NA,NA,"single",-0.50621031334525,0.125666379970659,-0.70589217675,-0.307484082,-0.753239955,-0.26059013825,0,16000
"m1_Biiliac.Stature.Eth___RunM","m1_Biiliac.Stature.Eth","b",2,NA,NA,"single",-0.5081208807835,0.12066400961336,-0.69865871875,-0.31433741445,-0.7402490165,-0.27333244425,0,16000
"m1_Biiliac___ClimbM","m1_Biiliac","b",4,NA,NA,"single",-0.222487438736785,0.151528443420345,-0.46365345725,0.0206407993149999,-0.52305215575,0.07391610465,0.0713125,16000
"m1_Biiliac.Eth___ClimbM","m1_Biiliac.Eth","b",4,NA,NA,"single",-0.200084404845381,0.14813924803433,-0.43686577205,0.03579024659,-0.49066609875,0.087918332675,0.089625,16000
"m1_Biiliac.Stature___ClimbM","m1_Biiliac.Stature","b",4,NA,NA,"single",-0.261433015526199,0.158600473023011,-0.5155101483,-0.00882044733600015,-0.572525326,0.0503285373,0.0493125,16000
"m1_Biiliac.Stature.Eth___ClimbM","m1_Biiliac.Stature.Eth","b",4,NA,NA,"single",-0.232145170834215,0.156371379440402,-0.4852438131,0.019765328215,-0.541622899,0.07413296925,0.0688125,16000
"m1_Biiliac___RunF","m1_Biiliac","b",1,NA,NA,"single",-0.12019475549926,0.150478453017754,-0.36030524395,0.1227924197,-0.414141953,0.17680226775,0.207875,16000
"m1_Biiliac.Eth___RunF","m1_Biiliac.Eth","b",1,NA,NA,"single",-0.203918999553169,0.143317937861971,-0.43353759435,0.0230953205449999,-0.4862208675,0.0737345976,0.075125,16000
"m1_Biiliac.Stature___RunF","m1_Biiliac.Stature","b",1,NA,NA,"single",-0.157997177047432,0.15324872978322,-0.40384044815,0.084300825785,-0.4579521825,0.14426438675,0.1471875,16000
"m1_Biiliac.Stature.Eth___RunF","m1_Biiliac.Stature.Eth","b",1,NA,NA,"single",-0.2288010876036,0.150130675615871,-0.4686136899,0.010225228135,-0.524039619,0.0697330533749999,0.0625,16000
"m1_Biiliac___ClimbF","m1_Biiliac","b",3,NA,NA,"single",-0.360538228745167,0.146906071649746,-0.5946266317,-0.12618507615,-0.6469959235,-0.0735151566750001,0.00625,16000
"m1_Biiliac.Eth___ClimbF","m1_Biiliac.Eth","b",3,NA,NA,"single",-0.40415280372135,0.141822806656372,-0.63275874715,-0.17573076435,-0.681028251,-0.12528497975,0.0020625,16000
"m1_Biiliac.Stature___ClimbF","m1_Biiliac.Stature","b",3,NA,NA,"single",-0.397545423359385,0.154605790518946,-0.6430721673,-0.15069341045,-0.70273738275,-0.0931341599000002,0.0048125,16000
"m1_Biiliac.Stature.Eth___ClimbF","m1_Biiliac.Stature.Eth","b",3,NA,NA,"single",-0.430694782582406,0.145542460884957,-0.66108444005,-0.1987930785,-0.7156784795,-0.14494136975,0.0016875,16000
"m1_Biiliac___RunM.RunF","m1_Biiliac","b",2,"b",1,"difference",-0.358937739748303,0.192007816758476,-0.66582579492,-0.0524015959000003,-0.741225705,0.01725141275,0.030875,16000
"m1_Biiliac.Eth___RunM.RunF","m1_Biiliac.Eth","b",2,"b",1,"difference",-0.284712955771706,0.184035255681708,-0.575310107975,0.00818881174999984,-0.6447647025,0.077415863,0.06,16000
"m1_Biiliac.Stature___RunM.RunF","m1_Biiliac.Stature","b",2,"b",1,"difference",-0.348213136297818,0.192972781674079,-0.654087206505,-0.0373399837000003,-0.724162581825,0.0288188354999999,0.0355,16000
"m1_Biiliac.Stature.Eth___RunM.RunF","m1_Biiliac.Stature.Eth","b",2,"b",1,"difference",-0.2793197931799,0.186760408834391,-0.57833914744,0.0229054463999998,-0.6478002842,0.08884148325,0.068375,16000
"m1_Biiliac___ClimbM.ClimbF","m1_Biiliac","b",4,"b",3,"difference",0.138050790008381,0.210915263029869,-0.19885264315,0.47521953002,-0.274602852675,0.54598265425,0.7444375,16000
"m1_Biiliac.Eth___ClimbM.ClimbF","m1_Biiliac.Eth","b",4,"b",3,"difference",0.204068398875969,0.205251854789671,-0.12423306215,0.53453321947,-0.198980766625,0.6064774604,0.8375625,16000
"m1_Biiliac.Stature___ClimbM.ClimbF","m1_Biiliac.Stature","b",4,"b",3,"difference",0.136112407833186,0.211726624167347,-0.20495462405,0.479483779689999,-0.286126152025,0.548672088875,0.744375,16000
"m1_Biiliac.Stature.Eth___ClimbM.ClimbF","m1_Biiliac.Stature.Eth","b",4,"b",3,"difference",0.198549611748191,0.203601912120189,-0.12641126372,0.5239150213,-0.19968389375,0.600157866975,0.8360625,16000
"m1_Biiliac___ClimbM.RunM","m1_Biiliac","b",4,"b",2,"difference",0.256645056510777,0.19551369172456,-0.0572027807,0.57016318266,-0.132447374,0.638615570375,0.903875,16000
"m1_Biiliac.Eth___ClimbM.RunM","m1_Biiliac.Eth","b",4,"b",2,"difference",0.288547550479494,0.186284522402704,-0.00844026889999996,0.58716337038,-0.0782654825,0.6603900806725,0.9396875,16000
"m1_Biiliac.Stature___ClimbM.RunM","m1_Biiliac.Stature","b",4,"b",2,"difference",0.244777297819051,0.194953249960644,-0.06980082135,0.55374669355,-0.137379975,0.6289790038575,0.89525,16000
"m1_Biiliac.Stature.Eth___ClimbM.RunM","m1_Biiliac.Stature.Eth","b",4,"b",2,"difference",0.275975709949285,0.189631560635944,-0.0262394771500001,0.58075818903,-0.10027362,0.653419014575,0.9294375,16000
"m1_Biiliac___ClimbF.RunF","m1_Biiliac","b",3,"b",1,"difference",-0.240343473245907,0.210294244428384,-0.573911993225,0.0979578514999997,-0.648213593575,0.17349870095,0.1268125,16000
"m1_Biiliac.Eth___ClimbF.RunF","m1_Biiliac.Eth","b",3,"b",1,"difference",-0.200233804168181,0.200260685378204,-0.524066642165,0.1243979742,-0.59547881599,0.19382719775,0.157,16000
"m1_Biiliac.Stature___ClimbF.RunF","m1_Biiliac.Stature","b",3,"b",1,"difference",-0.239548246311953,0.208604826985355,-0.5733361003,0.0952861895949999,-0.64708738235,0.17774204625,0.122375,16000
"m1_Biiliac.Stature.Eth___ClimbF.RunF","m1_Biiliac.Stature.Eth","b",3,"b",1,"difference",-0.201893694978806,0.197885314559017,-0.51738098045,0.1160098646,-0.59233068915,0.18915948575,0.15125,16000
"m1_Biacrom___RunM","m1_Biacrom","b",2,NA,NA,"single",-0.305009001857338,0.162276782228982,-0.56506610615,-0.0489540909450002,-0.62750511375,0.013270283875,0.029375,16000
"m1_Biacrom.Eth___RunM","m1_Biacrom.Eth","b",2,NA,NA,"single",-0.319713084506965,0.158466436454622,-0.5717556718,-0.0661846493450002,-0.62817989575,-0.00784435699250014,0.02175,16000
