Category,Subcategory,Species,Reference,Specimen,Location,Sex,Mass,Stature
Hominin,Homo,H. neanderthalensis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171452",Krapina 209,Croatia,,67.3744,
Hominin,Homo,H. neanderthalensis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171453",Krapina 213,Croatia,,83.0236,
Hominin,Homo,H. neanderthalensis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171454",Krapina 214,Croatia,,63.7456,
Hominin,Homo,H. neanderthalensis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171455",Krapina foot A2,Croatia,F,59.1872961,1631.70054
Hominin,Homo,H. neanderthalensis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171456",Krapina 236,Croatia,F,59.7397494,1600.41564
Hominin,Homo,H. neanderthalensis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171457",Krapina 237,Croatia,M,77.51751324,1711.037
Hominin,Homo,H. neanderthalensis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171458",Krapina 238.1,Croatia,,52.95797172,
Hominin,Homo,H. neanderthalensis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171459",Krapina 238.2+238.7,Croatia,,,1642.4714
Hominin,Homo,H. neanderthalensis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171460",Krapina 248.1,Croatia,,,1699.20125
Hominin,Homo,H. neanderthalensis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171461",Lezetxiki,Spain,M,,1668
Hominin,Homo,H. neanderthalensis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171462",Tabun C1,Israel,F,54.22,1531
Human,Late Pleist H. sapiens,H. sapiens,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171463",Omo Kibish 1,Ethiopia,F?,54.1,1633
Hominin,Homo,H. erectus,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171464",Jinniushan 1,China,F,77.3536,1688
Hominin,Homo,H. neanderthalensis,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171466",Sedia del Diavolo 2,Italy,F,,1596.581
